ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Meta: site-sidebar-layout","Meta: site-content-layout","Meta: theme-transparent-header-meta","Meta: _yoast_wpseo_primary_product_cat","Meta: _yoast_wpseo_content_score","Meta: _yoast_wpseo_estimated-reading-time-minutes","Meta: _wxr_import_user_slug","Meta: _astra_sites_imported_post","Meta: _astra_sites_enable_for_batch","Meta: _uag_css_file_name"
698,simple,,"Postcard V6",1,0,visible,"Sending a travel postcard to a loved one is truly a thoughtful gesture that can bring joy and inspiration. Inspiration can come in the form of taking a break from the normal routine, while being reminded of the more adventurous and exotic destinations around the world.","<p class=""ProductDescription-attributeHeader""><strong>Paper Type: Matte</strong></p>\n\n<div class=""ProductDescription-attributeValueInfo"">\n<div class=""ProductDescription-attributeValueDescription"">\n<ul>\n 	<li>17.5 pt thickness / 120 lb weight / 324 GSM</li>\n 	<li>Light white, uncoated matte finish with an eggshell texture</li>\n 	<li>Paper is easy to write on and won't smudge</li>\n 	<li>Made and printed in the USA</li>\n</ul>\n<p class=""ProductDescription-attributeHeader""><strong>Paper Type: Semi-Gloss</strong></p>\n\n<div class=""ProductDescription-attributeValueInfo"">\n<div class=""ProductDescription-attributeValueDescription"">\n<ul>\n 	<li>12.5 pt thickness / 110 lb weight</li>\n 	<li>Bright white, semi-gloss finish</li>\n 	<li>50% recycled content</li>\n 	<li>FSC certified</li>\n 	<li>Paper imported from Italy; printed in the USA</li>\n</ul>\n</div>\n</div>\n<strong>Note:</strong> <em>There may be a slight difference in actual color, due to the colors of display.</em>\n\n</div>\n</div>",,,taxable,,1,,,0,0,,,,,1,,,14.99,Postcards,,,https://websitedemos.net/earth-store-02/wp-content/uploads/sites/1171/2021/08/PostcardV6.jpg,,,,,,,,,0,default,default,default,39,60,1,akbarh,1,1,
1128,simple,,"Postcard V5",1,0,visible,"Sending a travel postcard to a loved one is truly a thoughtful gesture that can bring joy and inspiration. Inspiration can come in the form of taking a break from the normal routine, while being reminded of the more adventurous and exotic destinations around the world.","<p class=""ProductDescription-attributeHeader""><strong>Paper Type: Matte</strong></p>\n\n<div class=""ProductDescription-attributeValueInfo"">\n<div class=""ProductDescription-attributeValueDescription"">\n<ul>\n 	<li>17.5 pt thickness / 120 lb weight / 324 GSM</li>\n 	<li>Light white, uncoated matte finish with an eggshell texture</li>\n 	<li>Paper is easy to write on and won't smudge</li>\n 	<li>Made and printed in the USA</li>\n</ul>\n<p class=""ProductDescription-attributeHeader""><strong>Paper Type: Semi-Gloss</strong></p>\n\n<div class=""ProductDescription-attributeValueInfo"">\n<div class=""ProductDescription-attributeValueDescription"">\n<ul>\n 	<li>12.5 pt thickness / 110 lb weight</li>\n 	<li>Bright white, semi-gloss finish</li>\n 	<li>50% recycled content</li>\n 	<li>FSC certified</li>\n 	<li>Paper imported from Italy; printed in the USA</li>\n</ul>\n</div>\n</div>\n<strong>Note:</strong> <em>There may be a slight difference in actual color, due to the colors of display.</em>\n\n</div>\n</div>",,,taxable,,1,,,0,0,,,,,1,,,17.99,Postcards,,,https://websitedemos.net/earth-store-02/wp-content/uploads/sites/1171/2022/10/PostcardV5-min.jpg,,,,,,,,,0,default,default,default,39,60,1,akbarh,1,1,
1129,simple,,"Postcard V4",1,0,visible,"Sending a travel postcard to a loved one is truly a thoughtful gesture that can bring joy and inspiration. Inspiration can come in the form of taking a break from the normal routine, while being reminded of the more adventurous and exotic destinations around the world.","<p class=""ProductDescription-attributeHeader""><strong>Paper Type: Matte</strong></p>\n\n<div class=""ProductDescription-attributeValueInfo"">\n<div class=""ProductDescription-attributeValueDescription"">\n<ul>\n 	<li>17.5 pt thickness / 120 lb weight / 324 GSM</li>\n 	<li>Light white, uncoated matte finish with an eggshell texture</li>\n 	<li>Paper is easy to write on and won't smudge</li>\n 	<li>Made and printed in the USA</li>\n</ul>\n<p class=""ProductDescription-attributeHeader""><strong>Paper Type: Semi-Gloss</strong></p>\n\n<div class=""ProductDescription-attributeValueInfo"">\n<div class=""ProductDescription-attributeValueDescription"">\n<ul>\n 	<li>12.5 pt thickness / 110 lb weight</li>\n 	<li>Bright white, semi-gloss finish</li>\n 	<li>50% recycled content</li>\n 	<li>FSC certified</li>\n 	<li>Paper imported from Italy; printed in the USA</li>\n</ul>\n</div>\n</div>\n<strong>Note:</strong> <em>There may be a slight difference in actual color, due to the colors of display.</em>\n\n</div>\n</div>",,,taxable,,1,,,0,0,,,,,1,,,23.99,Postcards,,,https://websitedemos.net/earth-store-02/wp-content/uploads/sites/1171/2022/10/Postcard-6-min.jpg,,,,,,,,,0,default,default,default,39,60,1,akbarh,1,1,
1130,simple,,"Postcard V3",1,0,visible,"Sending a travel postcard to a loved one is truly a thoughtful gesture that can bring joy and inspiration. Inspiration can come in the form of taking a break from the normal routine, while being reminded of the more adventurous and exotic destinations around the world.","<p class=""ProductDescription-attributeHeader""><strong>Paper Type: Matte</strong></p>\n\n<div class=""ProductDescription-attributeValueInfo"">\n<div class=""ProductDescription-attributeValueDescription"">\n<ul>\n 	<li>17.5 pt thickness / 120 lb weight / 324 GSM</li>\n 	<li>Light white, uncoated matte finish with an eggshell texture</li>\n 	<li>Paper is easy to write on and won't smudge</li>\n 	<li>Made and printed in the USA</li>\n</ul>\n<p class=""ProductDescription-attributeHeader""><strong>Paper Type: Semi-Gloss</strong></p>\n\n<div class=""ProductDescription-attributeValueInfo"">\n<div class=""ProductDescription-attributeValueDescription"">\n<ul>\n 	<li>12.5 pt thickness / 110 lb weight</li>\n 	<li>Bright white, semi-gloss finish</li>\n 	<li>50% recycled content</li>\n 	<li>FSC certified</li>\n 	<li>Paper imported from Italy; printed in the USA</li>\n</ul>\n</div>\n</div>\n<strong>Note:</strong> <em>There may be a slight difference in actual color, due to the colors of display.</em>\n\n</div>\n</div>",,,taxable,,1,,,0,0,,,,,1,,,14.99,Postcards,,,https://websitedemos.net/earth-store-02/wp-content/uploads/sites/1171/2022/11/Postcard3.jpg,,,,,,,,,0,default,default,default,39,60,1,akbarh,1,1,
1131,simple,,"Postcard V2",1,0,visible,"Sending a travel postcard to a loved one is truly a thoughtful gesture that can bring joy and inspiration. Inspiration can come in the form of taking a break from the normal routine, while being reminded of the more adventurous and exotic destinations around the world.","<p class=""ProductDescription-attributeHeader""><strong>Paper Type: Matte</strong></p>\n\n<div class=""ProductDescription-attributeValueInfo"">\n<div class=""ProductDescription-attributeValueDescription"">\n<ul>\n 	<li>17.5 pt thickness / 120 lb weight / 324 GSM</li>\n 	<li>Light white, uncoated matte finish with an eggshell texture</li>\n 	<li>Paper is easy to write on and won't smudge</li>\n 	<li>Made and printed in the USA</li>\n</ul>\n<p class=""ProductDescription-attributeHeader""><strong>Paper Type: Semi-Gloss</strong></p>\n\n<div class=""ProductDescription-attributeValueInfo"">\n<div class=""ProductDescription-attributeValueDescription"">\n<ul>\n 	<li>12.5 pt thickness / 110 lb weight</li>\n 	<li>Bright white, semi-gloss finish</li>\n 	<li>50% recycled content</li>\n 	<li>FSC certified</li>\n 	<li>Paper imported from Italy; printed in the USA</li>\n</ul>\n</div>\n</div>\n<strong>Note:</strong> <em>There may be a slight difference in actual color, due to the colors of display.</em>\n\n</div>\n</div>",,,taxable,,1,,,0,0,,,,,1,,,17.99,Postcards,,,https://websitedemos.net/earth-store-02/wp-content/uploads/sites/1171/2022/10/PostcardV2-min.jpg,,,,,,,,,0,default,default,default,39,60,1,akbarh,1,1,
1132,simple,,"Postcard V1",1,0,visible,"Sending a travel postcard to a loved one is truly a thoughtful gesture that can bring joy and inspiration. Inspiration can come in the form of taking a break from the normal routine, while being reminded of the more adventurous and exotic destinations around the world.","<p class=""ProductDescription-attributeHeader""><strong>Paper Type: Matte</strong></p>\n\n<div class=""ProductDescription-attributeValueInfo"">\n<div class=""ProductDescription-attributeValueDescription"">\n<ul>\n 	<li>17.5 pt thickness / 120 lb weight / 324 GSM</li>\n 	<li>Light white, uncoated matte finish with an eggshell texture</li>\n 	<li>Paper is easy to write on and won't smudge</li>\n 	<li>Made and printed in the USA</li>\n</ul>\n<p class=""ProductDescription-attributeHeader""><strong>Paper Type: Semi-Gloss</strong></p>\n\n<div class=""ProductDescription-attributeValueInfo"">\n<div class=""ProductDescription-attributeValueDescription"">\n<ul>\n 	<li>12.5 pt thickness / 110 lb weight</li>\n 	<li>Bright white, semi-gloss finish</li>\n 	<li>50% recycled content</li>\n 	<li>FSC certified</li>\n 	<li>Paper imported from Italy; printed in the USA</li>\n</ul>\n</div>\n</div>\n<strong>Note:</strong> <em>There may be a slight difference in actual color, due to the colors of display.</em>\n\n</div>\n</div>",,,taxable,,1,,,0,0,,,,,1,,,23.99,Postcards,,,https://websitedemos.net/earth-store-02/wp-content/uploads/sites/1171/2022/11/Postcard1.jpg,,,,,,,,,0,default,default,default,39,60,1,akbarh,1,1,uag-css-1132.css
1133,simple,,"Poster V6",1,0,visible,"Inspirational posters are a great way to be inspired and encouraged to take on new challenges and adventures. Hang up a poster at home or in the office to be reminded how much beauty awaits in the world, luring you out of your comfort zone and into a world where possibility resides.","<strong>Framed Without Borders:</strong>\n<ul>\n 	<li>Printed on High-Quality vinyl.</li>\n 	<li>1-inch thick wooden back frame.</li>\n 	<li>No additional hanging hardware is required.</li>\n 	<li>Care: Dust with a soft, dry cloth.</li>\n</ul>\n<strong>Framed With Borders &amp; Acrylic Glass</strong>\n<ul>\n 	<li>Printed on High-Quality matte photo paper.</li>\n 	<li>Acrylic borders are used.</li>\n 	<li>Highly durable acrylic glass is used on the top to protect it from damage.</li>\n 	<li>Hooks are attached to the back of each frame for hanging.</li>\n</ul>\n<strong>Note:</strong> <em>There may be a slight difference in actual color, due to the colors of display.</em>",,,taxable,,1,,,0,0,,,,,1,,,14.99,Posters,,,https://websitedemos.net/earth-store-02/wp-content/uploads/sites/1171/2022/10/Poster1.jpg,,,,,,,,,0,default,default,default,39,60,1,akbarh,1,1,
1134,simple,,"Poster V5",1,0,visible,"Inspirational posters are a great way to be inspired and encouraged to take on new challenges and adventures. Hang up a poster at home or in the office to be reminded how much beauty awaits in the world, luring you out of your comfort zone and into a world where possibility resides.","<strong>Framed Without Borders:</strong>\n<ul>\n 	<li>Printed on High-Quality vinyl.</li>\n 	<li>1-inch thick wooden back frame.</li>\n 	<li>No additional hanging hardware is required.</li>\n 	<li>Care: Dust with a soft, dry cloth.</li>\n</ul>\n<strong>Framed With Borders &amp; Acrylic Glass</strong>\n<ul>\n 	<li>Printed on High-Quality matte photo paper.</li>\n 	<li>Acrylic borders are used.</li>\n 	<li>Highly durable acrylic glass is used on the top to protect it from damage.</li>\n 	<li>Hooks are attached to the back of each frame for hanging.</li>\n</ul>\n<strong>Note:</strong> <em>There may be a slight difference in actual color, due to the colors of display.</em>",,,taxable,,1,,,0,0,,,,,1,,,17.99,Posters,,,https://websitedemos.net/earth-store-02/wp-content/uploads/sites/1171/2022/10/Poster3.jpg,,,,,,,,,0,default,default,default,39,60,1,akbarh,1,1,
1135,simple,,"Poster V4",1,0,visible,"Inspirational posters are a great way to be inspired and encouraged to take on new challenges and adventures. Hang up a poster at home or in the office to be reminded how much beauty awaits in the world, luring you out of your comfort zone and into a world where possibility resides.","<strong>Framed Without Borders:</strong>\n<ul>\n 	<li>Printed on High-Quality vinyl.</li>\n 	<li>1-inch thick wooden back frame.</li>\n 	<li>No additional hanging hardware is required.</li>\n 	<li>Care: Dust with a soft, dry cloth.</li>\n</ul>\n<strong>Framed With Borders &amp; Acrylic Glass</strong>\n<ul>\n 	<li>Printed on High-Quality matte photo paper.</li>\n 	<li>Acrylic borders are used.</li>\n 	<li>Highly durable acrylic glass is used on the top to protect it from damage.</li>\n 	<li>Hooks are attached to the back of each frame for hanging.</li>\n</ul>\n<strong>Note:</strong> <em>There may be a slight difference in actual color, due to the colors of display.</em>",,,taxable,,1,,,0,0,,,,,1,,,23.99,Posters,,,https://websitedemos.net/earth-store-02/wp-content/uploads/sites/1171/2022/10/Poster2.jpg,,,,,,,,,0,default,default,default,39,60,1,akbarh,1,1,uag-css-1135.css
1136,simple,,"Poster V3",1,0,visible,"Inspirational posters are a great way to be inspired and encouraged to take on new challenges and adventures. Hang up a poster at home or in the office to be reminded how much beauty awaits in the world, luring you out of your comfort zone and into a world where possibility resides.","<strong>Framed Without Borders:</strong>\n<ul>\n 	<li>Printed on High-Quality vinyl.</li>\n 	<li>1-inch thick wooden back frame.</li>\n 	<li>No additional hanging hardware is required.</li>\n 	<li>Care: Dust with a soft, dry cloth.</li>\n</ul>\n<strong>Framed With Borders &amp; Acrylic Glass</strong>\n<ul>\n 	<li>Printed on High-Quality matte photo paper.</li>\n 	<li>Acrylic borders are used.</li>\n 	<li>Highly durable acrylic glass is used on the top to protect it from damage.</li>\n 	<li>Hooks are attached to the back of each frame for hanging.</li>\n</ul>\n<strong>Note:</strong> <em>There may be a slight difference in actual color, due to the colors of display.</em>",,,taxable,,1,,,0,0,,,,,1,,,14.99,Posters,,,https://websitedemos.net/earth-store-02/wp-content/uploads/sites/1171/2022/10/Poster4.jpg,,,,,,,,,0,default,default,default,39,60,1,akbarh,1,1,uag-css-1136.css
